tx_hash,tx_sent_time,tx_mined_time,latency,gas_used,block_num,block_time,num_tx_in_block
0x30f0b8c58cf30668fcd04927a5d3561317e51a2fc186c570b3bffc7af4b8fe03,1699975836,1699975843,7,53027,243,5,21
0xbf3dc315eabc7eadd4fd3b65d6e423506e1cbe0f2e5dda011f85677511200c1c,1699975836,1699975843,7,52979,243,5,21
0x1a6a7dd59abcbab808240f993542fc597b9c5898a098048449ed1889ead7907f,1699975836,1699975843,7,52979,243,5,21
0x0bd5e738c71323102fbf35de4bace713ec792bf43fe8da0badf4c5a83bc13f14,1699975836,1699975843,7,52991,243,5,21
0x2ea300d49ee27a2b480f8fdbdf912cd2a5aa169623c8f33b77a61d57a378d157,1699975836,1699975843,7,52919,243,5,21
0x6ed2df67672d98fe4e1c1b572e678d167bae43c0b6b02e09f35fdce79045281a,1699975836,1699975843,7,52907,243,5,21
0xdd8b1b7e2ad37b4a1f72e608c1fe99447ce110c0b864295f96515633abec99c5,1699975836,1699975843,7,52991,243,5,21
0x3e69a4630b97579dab1e06dc1d2f309ec74195ced526d2bf8cc198302a1b6692,1699975837,1699975843,6,53027,243,5,21
0x79813da7d84259b1b2b03034b9d20ee281f22215b260a5ffb7b91d931bb13297,1699975837,1699975843,6,80591,243,5,21
0x069d5f9dd1d6a8badfa5c1b45cbc992144aead79d0b8d00225813392f6b72883,1699975837,1699975843,6,50579,243,5,21
0x06f930ffa7646e4f50e57b64168bbe5b93e84ce51e5d323a9b8973c454fd3e61,1699975837,1699975843,6,86591,243,5,21
0x0085b551985d76a71c8e5d804fe1057e75a340aa0292a1023568725e020c20f0,1699975837,1699975843,6,42083,243,5,21
0xe8bb9bdba3fdf960c05bc88e67549d472aac468a9b6928a5e072ec42013d9ea1,1699975837,1699975843,6,86603,243,5,21
0xce3127ca9607ea35f9d00a0d843c94eecac633529c81121dbf6ecc8ce19f0ff4,1699975837,1699975843,6,53039,243,5,21
0xbd886888dc44c2a75b6382b7c58e1745067136e70333276ecd9687abf1c46e4d,1699975837,1699975843,6,97403,243,5,21
