tx_hash,tx_sent_time,tx_mined_time,latency,gas_used,block_num,block_time,num_tx_in_block
0xc6e5ffdf3d1d573829c7db50fbe190ff9e8ad7e0c6aa9534f38dba2ca072178f,1699976347,1699976353,6,103990,345,5,31
0x1690a4771e5bd0fb13b9c763118204ee8eca42c5878eada55edc349aa2fa572e,1699976351,1699976353,2,62803,345,5,31
0xfa7fc646f3121b3cefdc006eb7378c44f15e13281d892fe631b9ae240a1d7932,1699976353,1699976358,5,69695,346,5,6
0x3d62933ba7ec34e2b4d93653362553bb8428c48b4eb76dd95accc3aacc671150,1699976355,1699976358,3,103990,346,5,6
0x112e5aef5e1a51363a77982c85d88d4c8e383d34e69e13f6c26d0af0b10089e8,1699976359,1699976363,4,62803,347,5,27
0x9519a6e0af9bf9e51470c4120b429ce8e67dd04b70aba65bf7a99e4fc24ee237,1699976361,1699976363,2,61393,347,5,27
0xaa75248349ba18fb199cd9c1bce4aeeb8c9bf882897a4d25a93a8f4fb97c9fc5,1699976363,1699976368,5,68285,348,5,26
0xed2768eb136677ce8a01867b96e341e19605577d64659d6021c094ae744301c5,1699976367,1699976373,6,58603,349,5,6
0xd74895297c4127dfdfa8db6f3b32d24458d0cfd960e331fbcdbc1e2dd7110010,1699976369,1699976373,4,101249,349,5,6
0xeddbd1abc26303e90a43006e3d006ffe787bd45e68310d1ee24f1ed02ee7914f,1699976371,1699976378,7,64134,350,5,31
0x5c7d74a85eb24597e7b6abde96d43d909a7cc98003e08e929861b5d42d26b1e5,1699976375,1699976378,3,62803,350,5,31
0x96af11f62eb0baa78a8c2395a7e8a52fe6476467dd59b67a4fe88139924fb8b5,1699976377,1699976383,6,101249,351,5,10
0xc77a7ad0f8d365c4fc6d0089cf65c2ebf5256fdf5ae9b37f9cd5374c58f67769,1699976379,1699976383,4,64134,351,5,10
0x5d3f9b0f08ff9746ff17d81e6272b910454a70b582336c81822aa10afbc84c8c,1699976384,1699976388,4,62803,352,5,23
0x117abe138aa25b41713dc1d27e09519606b99a63323f3bfa195675293854899a,1699976386,1699976388,2,61393,352,5,23
0x5ced0ff691fef5bae09aa9b8b0a47e0ea33da75fc73613add668c24291cfb0b2,1699976388,1699976393,5,64085,353,5,23
0xcb8e51d64001a9202b5e4dcbfc1e1ca5104e4362107bd1d06ffb30bcdf90d0ab,1699976392,1699976398,6,58603,354,5,9
0xb94411ab02a900e86b8c26bf1857dd28b4b2f5330d5afeca509c0c635b70bf85,1699976394,1699976398,4,101249,354,5,9
0x8b97d2a4cb766deb3dbe22821854190e1359ced116124146c02b0cec9544c653,1699976396,1699976403,7,64134,355,5,31
0x4c29cf8e3e94f05c8b3b40e5066bcc22a5839b56897cbe7d41c92b1ec5942a31,1699976400,1699976403,3,62803,355,5,31
0x2b5665f06d6bdd1a08b7da7285cbfb2757d0cc2e21f9f4c556e7c6a6352d96ed,1699976402,1699976408,6,101249,356,5,13
0x55e86f5e4388e1a95632b76d121c83720a540cd62b1aa7e5dc454d9eb7ef1a6e,1699976404,1699976408,4,64134,356,5,13
0x4f4846aeaf66fb7f1e7a147b3ee7faea0e8643aa719db55e3e319a4df3157a9f,1699976407,1699976413,6,62803,357,5,21
0x8b8a4beaf702caea05ac96443acc77ac26e72436c2526ff5431d0a1e037adf18,1699976409,1699976413,4,101249,357,5,21
0x8b966e4c87663e369776d05126fc7a5e06b81f3a4a1c134468de1d7da25ccd7b,1699976411,1699976413,2,64085,357,5,21
0x525cd5535dd543777ac1c73d73a8814215eeb76a2b975c2253a877a9b9dcb0e7,1699976414,1699976418,4,62803,358,5,31
0x5c13397ce72f8d3ec73e64d0fe20a42507ea4e7a07513ebae34c8c1546adc6fa,1699976416,1699976418,2,61393,358,5,31
0xb3454a1e7991c440ae725bfdc4573839ec29cb2b564721352e39f55bb86234b6,1699976418,1699976423,5,68285,359,5,26
0x54cc418d97dfd3387274d04625ca94532eb997d318b661db7a5f64f2c8f8b2e2,1699976422,1699976428,6,58603,360,5,7
0x7874e0790443f4a4f690b483cd7918d82dc652f65ee4c169dda361fb0e2b7208,1699976424,1699976428,4,101249,360,5,7
0x704e8634b4ab0b82ac3cf6f29b38749f769ccdd6f256a354292831e36a3d4a74,1699976426,1699976428,2,64085,360,5,7
0x07d8ea51c73ae47ac28e1c083d60990a81990220ced209fa34fb714a4ecfc780,1699976431,1699976433,2,62803,361,5,30
0x7b00d5274db17f660d5e75c94ad4a000514fbded297f7c994d76cdd22a2ca948,1699976432,1699976438,6,69695,362,5,15
0xf6c501c3e594b9dc21fd0202623b98debe364f288cadb798f77a0aa38bbd94f6,1699976434,1699976438,4,103990,362,5,15
0xa1e5cf544c5b1d2d7dcec93ee89ab5b3bd7fa99baac40c0b1dda971b5f3b1b11,1699976439,1699976443,4,62803,363,5,17
0x5c195dd758642fa1502f5a229c40a622527b92ce7790aede5713710718ccf6fa,1699976441,1699976448,7,69695,364,5,26
0x1d763640186f7e5ebfc499b41dd8d50b500d6d0b58b52e5a9f642e94febfa929,1699976442,1699976448,6,68285,364,5,26
0xf327194be0032837219791f9417e745bd546eb5f76b98288fd0fb38e3905b18f,1699976447,1699976453,6,62754,365,5,8
0xb3d2b0387d1e8b22d5f4166c926bdff00d97f9d274d8bb5d9e4108b21104eac1,1699976449,1699976453,4,65495,365,5,8
0xe0ee87cf52e7d21d9f079298ae86b30b0fce357edba596e4cea65524e52eec74,1699976451,1699976453,2,103990,365,5,8
0x997edf3e10a73c2ca280d26e32bfee51c7fe27e058df1c6767256c045dfaeab6,1699976455,1699976458,3,62803,366,5,30
0x1f059319704719d3a37488992ec41b419c8f42bcb5edf3c8cdf9296c201bd4f3,1699976457,1699976463,6,69695,367,5,12
0x851cc266e740a3e54439d756d3f02231237e455704332c5d00b746be67ad6399,1699976459,1699976463,4,103990,367,5,12
0x6900c8475675d19a677e7d045cdd9b2b53282d92c51a5c7d902fd35992cca640,1699976463,1699976468,5,62803,368,5,21
